ligandId	chain	firstnum	proteinId
1	A	1200	1
1	B	2200	1
1	C	3200	1
1	D	4200	1
1	E	5200	1
1	F	6200	1
1	G	7200	1
1	H	8200	1
2	A	1201	1
2	B	2201	1
2	C	3201	1
2	D	4201	1
2	E	5201	1
2	F	6201	1
2	G	7201	1
2	H	8201	1
3	A	1001	2
3	B	1001	2
4	A	1512	3
4	B	1512	3
4	C	1512	3
4	D	1512	3
5	A	1514	4
5	A	700	4
5	B	1653	4
5	B	700	4
5	C	1515	4
5	C	700	4
5	D	1514	4
5	D	700	4
1	A	1513	4
1	B	1652	4
1	C	1513	4
1	D	1513	4
6	C	1514	4
4	B	650	4
5	A	700	5
5	B	700	5
5	C	700	5
5	D	700	5
1	A	650	5
1	B	650	5
1	C	650	5
1	D	650	5
7	B	503	6
8	A	501	6
6	D	505	6
9	B	504	6
9	D	504	6
8	A	502	6
8	D	502	6
6	A	505	6
8	B	501	6
7	A	503	6
7	D	503	6
10	D	506	6
8	B	502	6
8	C	502	6
9	C	504	6
7	C	503	6
8	C	501	6
8	D	501	6
9	A	504	6
11	A	447	7
12	A	446	7
12	B	446	7
2	A	300	8
1	A	500	9
13	A	502	9
13	A	503	9
13	A	504	9
13	A	505	9
13	A	506	9
14	A	501	9
6	A	507	9
15	A	502	10
15	B	501	10
1	A	500	10
1	B	500	10
13	A	440	10
13	A	441	10
13	A	443	10
13	A	444	10
13	A	445	10
13	B	441	10
13	B	443	10
13	B	444	10
13	B	445	10
13	B	447	10
16	A	442	10
16	B	442	10
6	A	435	10
6	A	436	10
6	A	437	10
6	A	438	10
6	A	439	10
6	B	435	10
6	B	436	10
6	B	437	10
6	B	438	10
6	B	439	10
6	B	440	10
1	A	500	11
13	A	504	11
14	A	501	11
17	A	505	11
6	A	502	11
6	A	506	11
6	A	507	11
1	A	500	12
13	A	502	12
13	A	503	12
13	A	504	12
13	A	506	12
13	A	507	12
14	A	501	12
6	A	505	12
18	A	502	13
1	A	500	13
13	A	503	13
13	A	505	13
13	A	506	13
13	A	507	13
14	A	501	13
16	A	504	13
6	A	508	13
1	A	500	14
14	A	501	14
16	A	503	14
6	A	502	14
18	A	502	15
1	A	500	15
13	A	504	15
13	A	505	15
13	A	506	15
13	A	507	15
16	A	503	15
6	A	508	15
1	A	500	16
13	A	504	16
14	A	501	16
17	A	505	16
19	A	503	17
19	A	504	17
19	A	505	17
18	A	502	17
1	A	500	17
13	A	506	17
13	A	508	17
13	A	509	17
6	A	507	17
18	A	502	18
1	A	500	18
13	A	505	18
13	A	506	18
13	A	507	18
13	A	508	18
14	A	501	18
6	A	503	18
18	A	502	19
1	A	500	19
13	A	503	19
13	A	504	19
13	A	505	19
14	A	501	19
18	A	502	20
1	A	500	20
13	A	504	20
13	A	505	20
13	A	506	20
13	A	507	20
14	A	501	20
6	A	503	20
1	A	500	21
13	A	502	21
13	A	503	21
14	A	501	21
20	A	504	21
18	A	502	22
1	A	500	22
13	A	505	22
13	A	506	22
13	A	507	22
13	A	508	22
14	A	501	22
6	A	503	22
6	A	504	22
21	A	503	23
1	A	500	23
14	A	501	23
22	A	504	23
22	A	505	23
6	A	502	23
23	B	600	24
1	A	500	24
1	B	500	24
24	A	501	24
24	B	501	24
25	A	2462	25
25	B	3462	25
25	C	4462	25
25	D	5462	25
25	E	6462	25
25	F	7462	25
25	G	8462	25
25	H	9462	25
12	C	804	25
12	D	805	25
12	E	1288	25
12	F	948	25
2	A	2300	25
2	B	3300	25
2	C	4300	25
2	D	5300	25
2	E	6300	25
2	F	7300	25
2	G	8300	25
2	H	9300	25
3	A	401	26
26	A	600	26
3	A	400	27
26	A	600	27
3	A	401	28
3	A	1500	29
3	B	1501	29
27	A	1506	29
27	B	1505	29
27	B	1507	29
6	A	1509	29
6	B	1508	29
3	A	150	30
3	A	150	31
28	A	301	32
28	B	301	32
3	A	1500	33
3	B	1501	33
29	A	1502	33
29	B	1503	33
6	A	1505	33
6	B	1504	33
1	A	400	34
6	A	401	34
1	A	300	35
30	A	305	35
31	A	620	36
31	B	620	36
31	C	620	36
31	D	620	36
32	A	622	36
32	B	622	36
32	C	622	36
32	D	622	36
33	A	623	36
33	B	623	36
33	C	623	36
33	D	623	36
34	A	621	36
34	B	621	36
34	C	621	36
34	D	621	36
3	A	1200	37
3	B	2200	37
6	A	702	37
6	A	703	37
6	A	704	37
6	A	706	37
6	B	701	37
6	B	705	37
3	A	401	38
29	A	2760	38
29	A	2761	38
6	A	4848	38
35	A	1296	39
3	A	4401	39
36	A	4124	39
6	A	4849	39
37	A	5080	39
38	A	3097	40
35	A	1296	40
3	A	1401	40
6	A	4849	40
37	A	5080	40
3	A	1401	41
6	A	4849	41
3	A	300	42
3	B	300	42
3	C	300	42
3	D	300	42
10	A	211	42
10	D	211	42
39	A	5600	43
39	B	9600	43
40	A	5635	43
40	B	9635	43
41	A	1249	44
41	B	1249	44
41	C	1249	44
41	D	1249	44
28	A	1248	44
28	B	1248	44
28	C	1248	44
28	D	1248	44
42	A	4006	45
42	C	4004	45
42	C	4007	45
42	D	4001	45
42	E	4005	45
42	E	4008	45
31	A	2501	45
31	A	2505	45
31	A	2506	45
31	C	2503	45
31	D	2502	45
31	E	2504	45
10	A	3001	45
10	A	3002	45
43	A	412	45
43	B	412	45
43	C	412	45
43	D	412	45
43	E	412	45
44	A	2001	45
44	B	2001	45
44	C	2001	45
44	D	2001	45
44	E	2001	45
42	A	4006	46
42	B	4009	46
42	C	4004	46
42	C	4007	46
42	D	4001	46
42	E	4005	46
42	E	4008	46
31	A	2501	46
31	A	2505	46
31	A	2506	46
31	C	2503	46
31	D	2502	46
31	E	2504	46
10	A	3001	46
10	A	3002	46
43	A	412	46
43	B	412	46
43	C	412	46
43	D	412	46
43	E	412	46
45	A	6178	46
45	B	6178	46
45	C	6178	46
45	D	6178	46
45	E	6178	46
1	A	1001	47
1	B	2001	47
6	A	500	47
6	A	501	47
6	A	503	47
6	A	506	47
6	A	507	47
6	A	508	47
6	A	509	47
6	A	510	47
6	B	502	47
6	B	504	47
6	B	505	47
6	B	511	47
10	A	1407	48
46	A	1403	48
46	A	1404	48
46	B	1397	48
12	A	1405	48
12	A	1406	48
12	B	1398	48
30	A	317	49
30	B	317	49
30	A	350	50
30	B	350	50
51	A	801	51
51	A	802	51
51	C	801	51
51	C	802	51
6	A	901	51
6	C	901	51
52	A	784	52
53	A	786	52
51	A	783	52
55	A	784	53
51	A	782	53
51	A	783	53
51	A	782	54
51	A	783	54
51	A	801	55
51	A	802	55
51	C	801	55
51	C	802	55
6	A	901	55
6	C	901	55
52	A	784	56
51	A	783	56
62	A	901	57
62	A	902	57
62	A	903	57
51	A	801	57
51	A	802	57
52	A	1784	58
52	C	1784	58
51	A	1782	58
51	A	1783	58
51	C	1782	58
51	C	1783	58
6	A	1785	58
6	C	1785	58
51	A	801	59
51	A	802	59
51	C	801	59
51	C	802	59
6	A	901	59
6	A	902	59
6	C	901	59
6	C	902	59
67	B	1582	60
68	A	1374	60
6	A	1375	60
67	B	1582	61
68	A	1374	61
6	A	1375	61
67	B	1582	62
68	A	1374	62
67	B	1582	63
68	A	1374	63
67	B	1582	64
68	A	1374	64
6	A	1375	64
6	A	1376	64
1	A	1611	65
1	B	1611	65
1	A	1611	66
1	B	1611	66
2	A	700	66
2	B	700	66
1	B	1000	67
1	A	1449	68
10	A	161	69
10	A	162	69
10	B	161	69
69	A	160	69
69	B	160	69
5	A	338	70
5	A	339	70
70	A	337	70
71	A	336	70
30	A	335	70
72	A	333	70
73	A	334	70
5	A	334	71
71	A	335	71
30	A	333	71
72	A	336	71
73	A	337	71
73	A	338	71
5	A	334	72
71	A	335	72
30	A	333	72
72	A	336	72
73	A	337	72
73	A	338	72
5	A	334	73
5	A	338	73
71	A	335	73
30	A	333	73
72	A	336	73
73	A	337	73
5	A	335	74
5	A	338	74
70	A	333	74
71	A	336	74
30	A	334	74
72	A	337	74
5	A	337	75
5	A	338	75
70	A	334	75
71	A	339	75
30	A	336	75
72	A	333	75
73	A	335	75
8	A	501	76
74	A	500	76
75	A	502	76
8	A	502	77
74	A	501	77
10	A	503	77
75	A	504	77
76	A	3001	78
76	B	3012	78
76	C	3002	78
76	D	3003	78
76	E	3004	78
76	F	3005	78
76	G	3006	78
76	H	3007	78
76	I	3008	78
76	J	3009	78
76	K	3010	78
76	L	3011	78
77	A	2001	78
77	B	2002	78
77	C	2003	78
77	D	2004	78
77	E	2008	78
77	F	2007	78
77	G	2006	78
77	H	2005	78
77	I	2011	78
77	J	2012	78
77	K	2013	78
77	L	2010	78
1	A	1492	79
10	A	1496	79
10	A	1497	79
10	A	1498	79
10	A	1499	79
30	A	1493	79
78	A	1494	79
6	A	1495	79
1	A	1501	80
10	A	1492	80
10	A	1493	80
10	A	1494	80
78	A	1502	80
6	A	1491	80
1	A	1492	81
10	A	1495	81
10	A	1496	81
10	A	1497	81
10	A	1498	81
28	A	1493	81
6	A	1494	81
1	A	1492	82
10	A	1495	82
10	A	1496	82
10	A	1497	82
10	A	1498	82
10	A	1499	82
10	A	1500	82
30	A	1493	82
6	A	1494	82
1	A	1504	83
10	A	1507	83
10	A	1508	83
10	A	1509	83
10	A	1510	83
10	A	1511	83
10	A	1512	83
10	A	1513	83
10	A	1514	83
79	A	1503	83
30	A	1505	83
6	A	1506	83
80	A	1360	84
81	A	1358	84
82	A	1359	84
80	A	1361	85
81	A	1358	85
10	A	1362	85
83	A	1360	85
84	A	1359	85
42	A	1357	86
84	A	1358	86
87	A	1511	87
87	A	1512	87
87	A	1513	87
88	A	1518	87
10	A	1516	87
10	A	1517	87
89	A	1515	87
87	A	1511	88
87	A	1512	88
87	A	1513	88
87	A	1514	88
88	A	1516	88
10	A	1519	88
10	A	1520	88
10	A	1522	88
10	A	1523	88
10	A	1525	88
89	A	1515	88
70	A	3001	89
70	A	3002	89
70	A	3003	89
70	A	3004	89
70	A	3005	89
70	A	3006	89
1	A	1001	89
75	A	2001	89
42	A	1002	90
42	B	1002	90
70	A	1003	90
70	A	1004	90
70	B	1003	90
70	B	1004	90
1	A	1001	90
1	B	1001	90
1	A	1500	91
1	B	500	91
2	A	1501	91
2	B	501	91
1	A	600	92
1	B	500	92
10	B	302	93
10	B	303	93
10	B	304	93
71	A	299	93
28	B	301	93
6	A	300	93
6	A	301	93
6	A	302	93
6	A	303	93
6	A	304	93
6	A	305	93
6	A	306	93
6	A	307	93
6	B	298	93
6	B	299	93
6	B	300	93
91	A	298	93
92	A	1401	94
92	C	1402	94
92	D	1403	94
30	A	1301	94
30	B	1302	94
30	C	1303	94
30	D	1304	94
93	A	1442	95
70	A	1443	95
70	A	1444	95
70	A	1445	95
70	B	1197	95
70	B	1198	95
70	B	1199	95
62	A	1446	95
62	A	1447	95
62	A	1448	95
62	A	1449	95
62	A	1450	95
62	B	1200	95
62	B	1201	95
62	B	1202	95
62	B	1203	95
8	A	1441	95
74	A	1440	95
94	B	1195	95
94	B	1196	95
70	A	1443	96
70	A	1444	96
70	B	1197	96
70	B	1198	96
70	B	1199	96
70	B	1200	96
62	A	1445	96
62	A	1446	96
62	A	1447	96
62	A	1448	96
62	B	1201	96
62	B	1202	96
8	A	1441	96
74	A	1440	96
95	A	1442	96
94	B	1195	96
94	B	1196	96
2	A	700	97
2	B	701	97
2	C	702	97
2	D	703	97
96	A	201	98
96	B	201	98
96	C	201	98
96	D	201	98
96	E	201	98
96	K	201	98
96	L	201	98
96	M	201	98
96	N	201	98
96	O	201	98
96	A	1	99
96	B	1	99
96	C	1	99
96	D	1	99
96	E	1	99
97	A	1501	100
97	A	1502	100
97	A	1503	100
97	A	1504	100
97	A	1505	100
97	A	1506	100
5	A	1001	100
5	A	1004	100
1	A	1500	100
6	A	1002	100
6	A	1003	100
1	A	500	101
98	A	1001	101
6	A	2001	101
6	A	2002	101
99	A	1001	102
1	A	500	102
71	A	2001	102
71	A	2002	102
99	A	2001	103
1	A	500	103
100	A	1003	103
100	A	1004	103
100	A	1005	103
100	A	1006	103
100	A	1007	103
